run_id,config_name,dataset,model,seq_len,embed_dim,hidden_dim,dropout,lr,num_heads,num_layers,epochs,batch_size,seed,device,train_windows,val_windows,test_windows,train_anomalies,val_anomalies,test_anomalies,vocab_size,runtime_seconds,loss,next_event_accuracy,precision,recall,f1,auc,threshold
2,medium_context_small_model,GAIA no-status,rnn,10,32,64,0.1,0.001,4,1,2,128,42,cpu,11090,3998,3998,0,302,301,7,0.4689889589790255,1.2678714990615845,0.3906953476738369,0.1297297297297297,0.3189368770764119,0.1844380403458213,0.5670391814499859,1.8235262439106457
2,medium_context_small_model,GAIA no-status,lstm,10,32,64,0.1,0.001,4,1,2,128,42,cpu,11090,3998,3998,0,302,301,7,0.9424754999927244,1.2680304050445557,0.3919459729864932,0.0893470790378006,0.5182724252491694,0.1524181729360039,0.5601228256366615,1.1153629153906697
3,long_context_small_model,GAIA no-status,rnn,15,32,64,0.1,0.001,4,1,2,128,42,cpu,11087,3997,3997,0,301,301,7,0.6527125000138767,1.2670555114746094,0.405053790342757,0.1103633916554508,0.2724252491694352,0.1570881226053639,0.5640465224144626,1.7308979051763362
3,long_context_small_model,GAIA no-status,transformer,15,32,64,0.1,0.001,4,1,2,128,42,cpu,11087,3997,3997,0,301,301,7,1.8958140829927288,1.264275074005127,0.3940455341506129,0.1056603773584905,0.2790697674418604,0.1532846715328467,0.5551058161107996,1.6519368808919734
3,long_context_small_model,GAIA no-status,lstm,15,32,64,0.1,0.001,4,1,2,128,42,cpu,11087,3997,3997,0,301,301,7,1.4632958329748362,1.2617108821868896,0.4110582937202902,0.105121293800539,0.2591362126245847,0.149568552253116,0.5656847305518402,1.6544758406552404
4,medium_context_larger_model,GAIA no-status,transformer,10,64,128,0.1,0.001,4,1,2,128,42,cpu,11090,3998,3998,0,302,301,7,1.950604125013342,1.253335952758789,0.4342171085542771,0.119774011299435,0.3521594684385382,0.178752107925801,0.5639626993962061,1.5630157845309296
4,medium_context_larger_model,GAIA no-status,rnn,10,64,128,0.1,0.001,4,1,2,128,42,cpu,11090,3998,3998,0,302,301,7,0.6216001250140835,1.268693447113037,0.3999499749874937,0.1251758087201125,0.2956810631229236,0.1758893280632411,0.5651497982111742,1.8041194931666056
4,medium_context_larger_model,GAIA no-status,lstm,10,64,128,0.1,0.001,4,1,2,128,42,cpu,11090,3998,3998,0,302,301,7,1.8385957090067675,1.2715694904327393,0.3941970985492746,0.1055363321799307,0.4053156146179402,0.1674673987645847,0.5540794951819603,1.3525266382429333
5,medium_context_deeper_transformer,GAIA no-status,rnn,10,64,128,0.1,0.001,4,2,2,128,42,cpu,11090,3998,3998,0,302,301,7,1.1669580409943592,1.2679071426391602,0.4094547273636818,0.1218097447795823,0.3488372093023256,0.1805674978503869,0.5623235864223215,1.6849661163729852
5,medium_context_deeper_transformer,GAIA no-status,transformer,10,64,128,0.1,0.001,4,2,2,128,42,cpu,11090,3998,3998,0,302,301,7,3.548859084025026,1.2562363147735596,0.4337168584292146,0.1205673758865248,0.3388704318936877,0.1778552746294681,0.5637191689050204,1.5849442427688187
5,medium_context_deeper_transformer,GAIA no-status,lstm,10,64,128,0.1,0.001,4,2,2,128,42,cpu,11090,3998,3998,0,302,301,7,3.5095951250114013,1.2642192840576172,0.4042021010505253,0.0910273081924577,0.4651162790697674,0.1522566612289287,0.5529310377364426,1.1350669047085926
